layer,x1,y1,x2,y2,width,height,area,grid_r,grid_c
metal3,8.9,15.97,9.040000000000001,17.35,0.14000000000000057,1.3800000000000008,0.1932000000000009,1,0
metal3,11.66,15.97,11.8,20.41,0.14000000000000057,4.4399999999999995,0.6216000000000025,1,1
metal3,12.120000000000001,17.67,12.26,22.11,0.1399999999999988,4.439999999999998,0.6215999999999943,1,1
metal3,13.280000000000001,21.575,15.16,21.945,1.879999999999999,0.370000000000001,0.6956000000000016,2,1
metal3,17.18,20.73,17.32,22.79,0.14000000000000057,2.0599999999999987,0.288400000000001,2,1
metal3,17.12,20.41,17.38,20.73,0.259999999999998,0.3200000000000003,0.08319999999999944,2,1
metal3,16.98,18.855,18.86,19.225,1.879999999999999,0.370000000000001,0.6956000000000016,1,1
metal3,12.06,17.35,12.32,17.67,0.2599999999999998,0.3200000000000003,0.08320000000000001,1,1
metal3,8.84,15.65,9.1,15.97,0.2599999999999998,0.3200000000000003,0.08320000000000001,1,0
metal3,11.6,15.65,11.86,15.97,0.2599999999999998,0.3200000000000003,0.08320000000000001,1,1
metal3,12.120000000000001,15.290000000000001,12.26,17.35,0.1399999999999988,2.0600000000000005,0.2883999999999976,1,1
metal3,16.2,16.67,16.46,16.990000000000002,0.26000000000000156,0.3200000000000003,0.08320000000000058,1,1
metal3,13.280000000000001,16.135,15.16,16.505,1.879999999999999,0.36999999999999744,0.6955999999999948,1,1
metal3,7.92,14.97,8.18,15.290000000000001,0.2599999999999998,0.3200000000000003,0.08320000000000001,1,0
metal3,12.06,14.97,12.32,15.290000000000001,0.2599999999999998,0.3200000000000003,0.08320000000000001,1,1
metal3,7.98,13.25,8.120000000000001,14.97,0.14000000000000057,1.7200000000000006,0.24080000000000107,1,0
metal3,9.58,13.415000000000001,11.46,13.785,1.8800000000000008,0.3699999999999992,0.6955999999999988,1,0
metal3,7.92,12.93,8.18,13.25,0.2599999999999998,0.3200000000000003,0.08320000000000001,1,0
metal3,16.26,12.23,16.4,16.67,0.13999999999999702,4.440000000000001,0.6215999999999869,1,1
metal3,16.98,13.415000000000001,18.86,13.785,1.879999999999999,0.3699999999999992,0.6955999999999981,1,1
metal3,7.0,11.91,7.26,12.23,0.2599999999999998,0.3200000000000003,0.08320000000000001,1,0
metal3,16.2,11.91,16.46,12.23,0.26000000000000156,0.3200000000000003,0.08320000000000058,1,1
metal3,7.0600000000000005,5.965,7.2,11.91,0.13999999999999968,5.945,0.8322999999999982,0,0
metal3,18.04,11.23,18.3,11.55,0.26000000000000156,0.3200000000000003,0.08320000000000058,1,1
metal3,13.280000000000001,10.695,15.16,11.065,1.879999999999999,0.3699999999999992,0.6955999999999981,1,1
metal3,18.1,8.685,18.240000000000002,11.23,0.14000000000000057,2.545,0.35630000000000145,0,1
metal3,18.03,8.315,18.31,8.685,0.2799999999999976,0.370000000000001,0.10359999999999939,0,1
metal3,6.99,5.595,7.2700000000000005,5.965,0.28000000000000025,0.3700000000000001,0.10360000000000012,0,0
